't             ','x             ','y             ','z             ',magnitude
4.0576472015E13,0.956883,-0.325054,-0.555275,1.153089
4.0576491835E13,1.342399,0.282522,-0.392417,1.42683
4.0576511858E13,1.569893,1.054742,-0.303269,1.915468
4.0576533238E13,1.600531,1.895381,-0.330871,2.502727
4.0576552006E13,1.430944,2.682184,-0.507587,3.082102
4.0576571985E13,1.095596,3.289695,-0.853756,3.5709
4.0576591818E13,0.661025,3.615954,-1.378716,3.925931
4.0576611858E13,0.212705,3.607379,-2.082918,4.170968
4.057663354E13,-0.162892,3.276572,-2.959723,4.418418
4.0576652141E13,-0.39745,2.70832,-3.995621,4.843341
4.0576672126E13,-0.457476,2.051212,-5.167827,5.578817
4.0576691843E13,-0.354403,1.496156,-6.440278,6.621273
4.057671186E13,-0.146343,1.243846,-7.759072,7.859502
4.0576733093E13,0.071227,1.46624,-9.047107,9.165429
4.0576752005E13,0.181995,2.272397,-10.202314,10.453905
4.0576771981E13,0.070085,3.68263,-11.101821,11.696884
4.0576791816E13,-0.357561,5.616659,-11.612729,12.904658
4.0576811856E13,-1.151941,7.899121,-11.60937,14.089022
4.0576833238E13,-2.312657,10.284125,-10.995828,15.232197
4.0576852006E13,-3.784898,12.490844,-9.72781,16.278112
4.0576871981E13,-5.466529,14.247738,-7.830375,17.152135
4.0576891818E13,-7.223381,15.336015,-5.408425,17.793865
4.0576911856E13,-8.908927,15.624574,-2.645178,18.179474
4.0576933528E13,-10.385268,15.090234,0.212365,18.319772
4.0576952145E13,-11.540074,13.819718,2.880459,18.233347
4.0576972003E13,-12.298011,11.994168,5.075521,17.912623
4.0576991845E13,-12.624895,9.857668,6.555039,17.306939
4.0577011858E13,-12.525035,7.676893,7.15539,16.340465
4.057703324E13,-12.033406,5.699335,6.819402,14.959597
4.0577052006E13,-11.205157,4.117387,5.608141,13.189377
4.057707198E13,-10.105916,3.043665,3.694582,11.182279
4.057709182E13,-8.805026,2.501644,1.339166,9.25095
4.0577111858E13,-7.372425,2.432354,-1.14896,7.847873
4.0577132793E13,-5.879025,2.714307,-3.45897,7.341313
4.0577152133E13,-4.398641,3.191806,-5.325337,7.608869
4.0577171826E13,-3.009503,3.705769,-6.566511,8.11843
4.0577191823E13,-1.793045,4.121452,-7.108542,8.410276
4.0577211853E13,-0.828377,4.348138,-6.990055,8.273656
4.0577233211E13,-0.182741,4.348053,-6.347743,7.696285
4.0577252011E13,0.101122,4.134447,-5.385829,6.79051
4.0577271981E13,0.017983,3.76056,-4.335624,5.739318
4.0577291826E13,-0.390838,3.303244,-3.413158,4.765902
4.0577311855E13,-1.03495,2.844891,-2.7828,4.111995
4.0577332275E13,-1.78176,2.457758,-2.533176,3.953761
4.0577351853E13,-2.473146,2.19328,-2.669375,4.248823
4.0577371828E13,-2.949472,2.077267,-3.122068,4.770926
4.0577391823E13,-3.077621,2.110991,-3.769661,5.304562
4.0577411855E13,-2.777358,2.276678,-4.468716,5.732922
4.0577432288E13,-2.040317,2.544859,-5.085689,6.041807
4.0577451851E13,-0.937433,2.881613,-5.5229,6.299595
4.0576972003E13,-12.298011,11.994168,5.075521,17.912623
4.0576991845E13,-12.624895,9.857668,6.555039,17.306939
4.0577011858E13,-12.525035,7.676893,7.15539,16.340465
4.057703324E13,-12.033406,5.699335,6.819402,14.959597
4.0577052006E13,-11.205157,4.117387,5.608141,13.189377
4.057707198E13,-10.105916,3.043665,3.694582,11.182279
4.057709182E13,-8.805026,2.501644,1.339166,9.25095
4.0577111858E13,-7.372425,2.432354,-1.14896,7.847873
4.0577132793E13,-5.879025,2.714307,-3.45897,7.341313
4.0577152133E13,-4.398641,3.191806,-5.325337,7.608869
4.0577171826E13,-3.009503,3.705769,-6.566511,8.11843
4.0577191823E13,-1.793045,4.121452,-7.108542,8.410276
4.0577211853E13,-0.828377,4.348138,-6.990055,8.273656
4.0577233211E13,-0.182741,4.348053,-6.347743,7.696285
4.0577252011E13,0.101122,4.134447,-5.385829,6.79051
4.0577271981E13,0.017983,3.76056,-4.335624,5.739318
4.0577291826E13,-0.390838,3.303244,-3.413158,4.765902
4.0577311855E13,-1.03495,2.844891,-2.7828,4.111995
4.0577332275E13,-1.78176,2.457758,-2.533176,3.953761
4.0577351853E13,-2.473146,2.19328,-2.669375,4.248823
4.0577371828E13,-2.949472,2.077267,-3.122068,4.770926
4.0577391823E13,-3.077621,2.110991,-3.769661,5.304562
4.0577411855E13,-2.777358,2.276678,-4.468716,5.732922
4.0577432288E13,-2.040317,2.544859,-5.085689,6.041807
4.0577451851E13,-0.937433,2.881613,-5.5229,6.299595
4.0577471766E13,0.388049,3.253904,-5.733768,6.604133
4.0577491823E13,1.742504,3.632093,-5.72516,7.00042
4.0577511855E13,2.915315,3.989639,-5.547112,7.428777
4.0577534336E13,3.718005,4.30146,-5.274006,7.755079
4.0577551855E13,4.020598,4.542327,-4.981961,7.849705
4.0577571833E13,3.779456,4.686219,-4.728613,7.655372
4.0577591825E13,3.04969,4.707764,-4.540084,7.216371
4.0577611853E13,1.979164,4.585802,-4.408142,6.66171
4.0577631868E13,0.784753,4.308408,-4.298053,6.136079
4.057765181E13,-0.285099,3.877947,-4.164623,5.697705
4.0577671826E13,-0.994549,3.314476,-3.971971,5.267963
4.0577691853E13,-1.162955,2.656445,-3.711553,4.710073
4.0577711845E13,-0.69756,1.958068,-3.413298,3.996402
4.0577732075E13,0.390246,1.283584,-3.146551,3.420623
4.0577751825E13,1.987998,0.699068,-3.00974,3.674148
4.057777184E13,3.903904,0.264018,-3.110048,4.998256
4.0577791991E13,5.902168,0.023841,-3.539183,6.882003
4.0577811853E13,7.745717,0.005176,-4.348319,8.882794
4.0577832075E13,9.237981,0.21349,-5.527971,10.767746
4.0577851836E13,10.254441,0.63525,-6.99904,12.431559
4.0577871838E13,10.75774,1.242251,-8.617456,13.839534
4.0577892001E13,10.794891,1.996045,-10.191637,14.97943
4.057791185E13,10.478221,2.851939,-11.511164,15.825093
4.0577932045E13,9.952002,3.763244,-12.38047,16.324227
4.0577951823E13,9.356965,4.681579,-12.649673,16.415974
4.0577471766E13,0.388049,3.253904,-5.733768,6.604133
4.0577491823E13,1.742504,3.632093,-5.72516,7.00042
4.0577511855E13,2.915315,3.989639,-5.547112,7.428777
4.0577534336E13,3.718005,4.30146,-5.274006,7.755079
4.0577551855E13,4.020598,4.542327,-4.981961,7.849705
4.0577571833E13,3.779456,4.686219,-4.728613,7.655372
4.0577591825E13,3.04969,4.707764,-4.540084,7.216371
4.0577611853E13,1.979164,4.585802,-4.408142,6.66171
4.0577631868E13,0.784753,4.308408,-4.298053,6.136079
4.057765181E13,-0.285099,3.877947,-4.164623,5.697705
4.0577671826E13,-0.994549,3.314476,-3.971971,5.267963
4.0577691853E13,-1.162955,2.656445,-3.711553,4.710073
4.0577711845E13,-0.69756,1.958068,-3.413298,3.996402
4.0577732075E13,0.390246,1.283584,-3.146551,3.420623
4.0577751825E13,1.987998,0.699068,-3.00974,3.674148
4.057777184E13,3.903904,0.264018,-3.110048,4.998256
4.0577791991E13,5.902168,0.023841,-3.539183,6.882003
4.0577811853E13,7.745717,0.005176,-4.348319,8.882794
4.0577832075E13,9.237981,0.21349,-5.527971,10.767746
4.0577851836E13,10.254441,0.63525,-6.99904,12.431559
4.0577871838E13,10.75774,1.242251,-8.617456,13.839534
4.0577892001E13,10.794891,1.996045,-10.191637,14.97943
4.057791185E13,10.478221,2.851939,-11.511164,15.825093
4.0577932045E13,9.952002,3.763244,-12.38047,16.324227
4.0577951823E13,9.356965,4.681579,-12.649673,16.415974
4.0577971773E13,8.797625,5.556832,-12.239003,16.064551
4.0577991993E13,8.320159,6.336018,-11.151949,15.288431
4.0578011856E13,7.905596,6.963505,-9.4749,14.169071
4.0578032045E13,7.479252,7.382485,-7.363958,12.83231
4.0578051863E13,6.934337,7.539901,-5.021354,11.408292
4.0578071833E13,6.163599,7.393798,-2.665701,9.988202
4.057809184E13,5.091657,6.921762,-0.502326,8.607444
4.0578111856E13,3.700321,6.128919,1.301202,7.276617
4.0578131866E13,2.0413,5.053633,2.631134,6.052187
4.0578151855E13,0.233393,3.768244,3.433288,5.103098
4.0578171821E13,-1.55663,2.373589,3.709772,4.671127
4.0578191833E13,-3.14452,0.987689,3.509001,4.814211
4.057821184E13,-4.364183,-0.269966,2.912153,5.253533
4.0578232291E13,-5.100925,-1.296211,2.018817,5.636952
4.0578251843E13,-5.314831,-2.02074,0.934969,5.762377
4.0578271856E13,-5.049662,-2.417522,-0.235233,5.603466
4.0578291995E13,-4.425273,-2.508568,-1.394064,5.274407
4.057831197E13,-3.614884,-2.359168,-2.45276,4.964785
4.0578332048E13,-2.81208,-2.065,-3.333235,4.825192
4.0578351821E13,-2.194217,-1.733314,-3.970773,4.856542
4.0578371858E13,-1.889361,-1.462272,-4.318418,4.935246
4.0578391995E13,-1.953875,-1.322421,-4.352982,4.95125
4.0578411958E13,-2.364398,-1.344265,-4.081009,4.90429
4.0578432058E13,-3.025727,-1.514518,-3.542532,4.898808
4.057845181E13,-3.792236,-1.782156,-2.810828,5.045581
4.0577971773E13,8.797625,5.556832,-12.239003,16.064551
4.0577991993E13,8.320159,6.336018,-11.151949,15.288431
4.0578011856E13,7.905596,6.963505,-9.4749,14.169071
4.0578032045E13,7.479252,7.382485,-7.363958,12.83231
4.0578051863E13,6.934337,7.539901,-5.021354,11.408292
4.0578071833E13,6.163599,7.393798,-2.665701,9.988202
4.057809184E13,5.091657,6.921762,-0.502326,8.607444
4.0578111856E13,3.700321,6.128919,1.301202,7.276617
4.0578131866E13,2.0413,5.053633,2.631134,6.052187
4.0578151855E13,0.233393,3.768244,3.433288,5.103098
4.0578171821E13,-1.55663,2.373589,3.709772,4.671127
4.0578191833E13,-3.14452,0.987689,3.509001,4.814211
4.057821184E13,-4.364183,-0.269966,2.912153,5.253533
4.0578232291E13,-5.100925,-1.296211,2.018817,5.636952
4.0578251843E13,-5.314831,-2.02074,0.934969,5.762377
4.0578271856E13,-5.049662,-2.417522,-0.235233,5.603466
4.0578291995E13,-4.425273,-2.508568,-1.394064,5.274407
4.057831197E13,-3.614884,-2.359168,-2.45276,4.964785
4.0578332048E13,-2.81208,-2.065,-3.333235,4.825192
4.0578351821E13,-2.194217,-1.733314,-3.970773,4.856542
4.0578371858E13,-1.889361,-1.462272,-4.318418,4.935246
4.0578391995E13,-1.953875,-1.322421,-4.352982,4.95125
4.0578411958E13,-2.364398,-1.344265,-4.081009,4.90429
4.0578432058E13,-3.025727,-1.514518,-3.542532,4.898808
4.057845181E13,-3.792236,-1.782156,-2.810828,5.045581
4.0578471788E13,-4.498135,-2.072604,-1.986278,5.336122
4.0578492005E13,-4.990288,-2.306788,-1.184029,5.623715
4.057851197E13,-5.156747,-2.420948,-0.517245,5.72019
4.0578532075E13,-4.945256,-2.382486,-0.078491,5.489804
4.0578551823E13,-4.369468,-2.197721,0.077374,4.891648
4.057857185E13,-3.501859,-1.910153,-0.055578,3.989335
4.0578591995E13,-2.455092,-1.589657,-0.431789,2.956506
4.0578611965E13,-1.356442,-1.314468,-0.961509,2.119495
4.0578632046E13,-0.322034,-1.150467,-1.527661,1.939337
4.0578651808E13,0.564562,-1.133317,-2.008843,2.374571
4.0578671875E13,1.264701,-1.256755,-2.303943,2.913255
4.0578692016E13,1.786219,-1.470544,-2.352981,3.299939
4.0578711845E13,2.174288,-1.689146,-2.149693,3.493125
4.0578732055E13,2.494298,-1.809525,-1.742752,3.54021
4.0578751823E13,2.811107,-1.734425,-1.224831,3.522891
4.0578771853E13,3.169405,-1.396044,-0.711577,3.535592
4.0578791995E13,3.579663,-0.774863,-0.314966,3.676085
4.0578811966E13,4.012757,0.090713,-0.116959,4.015486
4.0578832058E13,4.404523,1.106313,-0.14946,4.543797
4.0578851823E13,4.668827,2.13502,-0.385297,5.148273
4.0578871878E13,4.716338,3.01997,-0.742668,5.649391
4.0578892E13,4.474361,3.612159,-1.103713,5.855407
4.0578911963E13,3.906369,3.795947,-1.340747,5.609504
4.0578932041E13,3.023861,3.510392,-1.34535,4.824579
4.0578951818E13,1.889717,2.760612,-1.055094,3.507882
4.0578471788E13,-4.498135,-2.072604,-1.986278,5.336122
4.0578492005E13,-4.990288,-2.306788,-1.184029,5.623715
4.057851197E13,-5.156747,-2.420948,-0.517245,5.72019
4.0578532075E13,-4.945256,-2.382486,-0.078491,5.489804
4.0578551823E13,-4.369468,-2.197721,0.077374,4.891648
4.057857185E13,-3.501859,-1.910153,-0.055578,3.989335
4.0578591995E13,-2.455092,-1.589657,-0.431789,2.956506
4.0578611965E13,-1.356442,-1.314468,-0.961509,2.119495
4.0578632046E13,-0.322034,-1.150467,-1.527661,1.939337
4.0578651808E13,0.564562,-1.133317,-2.008843,2.374571
4.0578671875E13,1.264701,-1.256755,-2.303943,2.913255
4.0578692016E13,1.786219,-1.470544,-2.352981,3.299939
4.0578711845E13,2.174288,-1.689146,-2.149693,3.493125
4.0578732055E13,2.494298,-1.809525,-1.742752,3.54021
4.0578751823E13,2.811107,-1.734425,-1.224831,3.522891
4.0578771853E13,3.169405,-1.396044,-0.711577,3.535592
4.0578791995E13,3.579663,-0.774863,-0.314966,3.676085
4.0578811966E13,4.012757,0.090713,-0.116959,4.015486
4.0578832058E13,4.404523,1.106313,-0.14946,4.543797
4.0578851823E13,4.668827,2.13502,-0.385297,5.148273
4.0578871878E13,4.716338,3.01997,-0.742668,5.649391
4.0578892E13,4.474361,3.612159,-1.103713,5.855407
4.0578911963E13,3.906369,3.795947,-1.340747,5.609504
4.0578932041E13,3.023861,3.510392,-1.34535,4.824579
4.0578951818E13,1.889717,2.760612,-1.055094,3.507882
4.0578971866E13,0.611925,1.616857,-0.470465,1.791651
4.0578991998E13,-0.671489,0.201982,0.341957,0.780147
4.057901183E13,-1.813043,-1.328777,1.260134,2.576958
4.0579032046E13,-2.679512,-2.811403,2.130708,4.429863
4.0579051818E13,-3.172447,-4.097601,2.801389,5.890886
4.0579071855E13,-3.243651,-5.073658,3.153578,6.797671
