't             ','x             ','y             ','z             ',magnitude
3.1115942216E13,0.121092,0.062963,-0.1206,0.182132
3.1115970296E13,0.001165,0.185891,-0.206661,0.277966
3.1115982012E13,-0.15006,0.316205,-0.26794,0.440789
3.1116002462E13,-0.312222,0.433281,-0.286858,0.60622
3.1116022034E13,-0.462928,0.5178,-0.253518,0.739385
3.1116042034E13,-0.582346,0.556202,-0.16912,0.822854
3.1116062129E13,-0.656829,0.543885,-0.04679,0.854063
3.1116082011E13,-0.681291,0.486829,0.090184,0.842195
3.1116102127E13,-0.659715,0.400996,0.212649,0.800775
3.1116122532E13,-0.603912,0.30931,0.291225,0.738372
3.1116145154E13,-0.530792,0.236853,0.302524,0.655256
3.1116162867E13,-0.457682,0.205229,0.234702,0.553784
3.1116182101E13,-0.398759,0.227183,0.090841,0.467839
3.1116202159E13,-0.361992,0.302735,-0.11073,0.484714
3.1116222021E13,-0.347245,0.417322,-0.339376,0.640244
3.1116242004E13,-0.346417,0.543038,-0.557726,0.852029
3.1116261992E13,-0.34543,0.642937,-0.728876,1.031479
3.1116282316E13,-0.327424,0.677244,-0.823794,1.115573
3.1116303536E13,-0.276262,0.610429,-0.827368,1.064651
3.1116322307E13,-0.179813,0.417664,-0.741938,0.8702
3.1116342299E13,-0.032145,0.089426,-0.587493,0.595129
3.1116361999E13,0.165501,-0.366865,-0.398195,0.566162
3.1116382789E13,0.405318,-0.928438,-0.21613,1.035853
3.1116403362E13,0.67459,-1.561572,-0.083679,1.703109
3.1116422017E13,0.957895,-2.227417,-0.035811,2.424919
3.1116442002E13,1.239205,-2.888818,-0.093734,3.144787
3.1116461986E13,1.5037,-3.516231,-0.261367,3.833185
3.1116482764E13,1.738565,-4.091493,-0.525071,4.476452
3.1116502882E13,1.932577,-4.608454,-0.856727,5.070176
3.1116522337E13,2.075525,-5.070701,-1.219052,5.613012
3.1116542076E13,2.157646,-5.486967,-1.572218,6.101976
3.1116562449E13,2.169368,-5.865586,-1.880183,6.530417
3.1116581982E13,2.102115,-6.209049,-2.115498,6.888142
3.1116602169E13,1.950074,-6.510625,-2.262042,7.162951
3.1116622044E13,1.712775,-6.753482,-2.315101,7.341854
3.1116641999E13,1.397616,-6.913031,-2.279521,7.412121
3.1116661986E13,1.022041,-6.961879,-2.166115,7.362362
3.1116682004E13,0.613565,-6.876256,-1.987447,7.183961
3.1116703312E13,0.207535,-6.642542,-1.754941,6.873591
3.1116722172E13,-0.157255,-6.262154,-1.477533,6.436024
3.1116742144E13,-0.444663,-5.753655,-1.162101,5.886659
3.1116762082E13,-0.627681,-5.151055,-0.815665,5.252872
3.1116782022E13,-0.694776,-4.498696,-0.44785,4.574008
3.1116803277E13,-0.654005,-3.844514,-0.07331,3.900434
3.1116822012E13,-0.533501,-3.231914,0.287144,3.288213
3.1116841992E13,-0.377957,-2.692428,0.60746,2.785862
3.1116861987E13,-0.241272,-2.240931,0.859388,2.412163
3.1116882021E13,-0.176529,-1.874511,1.017263,2.140041
3.1116903286E13,-0.225017,-1.575293,1.063454,1.913926
3.1116922017E13,-0.406571,-1.316505,0.993183,1.698499
3.1116442002E13,1.239205,-2.888818,-0.093734,3.144787
3.1116461986E13,1.5037,-3.516231,-0.261367,3.833185
3.1116482764E13,1.738565,-4.091493,-0.525071,4.476452
3.1116502882E13,1.932577,-4.608454,-0.856727,5.070176
3.1116522337E13,2.075525,-5.070701,-1.219052,5.613012
