't             ','x             ','y             ','z             ',magnitude
2.6408427473E13,-0.244886,-1.060578,-0.814399,1.359426
2.6408447311E13,-0.216217,-1.207388,-0.753453,1.439523
2.6408467319E13,-0.189217,-1.246398,-0.752981,1.468432
2.6408487333E13,-0.162861,-1.173015,-0.825289,1.443465
2.6408507313E13,-0.138261,-1.009661,-0.96228,1.401611
2.6408527303E13,-0.118667,-0.801111,-1.136747,1.395727
2.6408547333E13,-0.108486,-0.604039,-1.308337,1.445123
2.6408567343E13,-0.111579,-0.473233,-1.43271,1.512963
2.6408587356E13,-0.129371,-0.447445,-1.471696,1.543643
2.6408607488E13,-0.159337,-0.538455,-1.402457,1.510698
2.6408627303E13,-0.194563,-0.725773,-1.223311,1.435651
2.6408647338E13,-0.224564,-0.958722,-0.954576,1.37142
2.6408667304E13,-0.237326,-1.165843,-0.634257,1.348256
2.6408687311E13,-0.222175,-1.269689,-0.309395,1.325594
2.6408707631E13,-0.172734,-1.203941,-0.025016,1.216526
2.6408727298E13,-0.089218,-0.928971,0.18678,0.951753
2.6408747329E13,0.020711,-0.442178,0.314961,0.543278
2.6408767314E13,0.142797,0.219423,0.372881,0.455607
2.6408787328E13,0.258799,0.9853,0.395773,1.092899
2.6408807823E13,0.350385,1.765109,0.432798,1.850863
2.6408827304E13,0.403352,2.467208,0.535269,2.556623
2.6408847331E13,0.411194,3.017914,0.743712,3.135282
2.6408867314E13,0.377036,3.37714,1.076681,3.564614
2.6408887331E13,0.313341,3.546837,1.523971,3.873076
2.6408907991E13,0.239274,3.57015,2.046008,4.121816
2.6408927298E13,0.176244,3.521127,2.579682,4.368542
2.6408947324E13,0.142557,3.48719,3.049769,4.634858
2.6408967313E13,0.148447,3.548218,3.383245,4.904919
2.6408987329E13,0.192638,3.756949,3.523446,5.154264
2.6409008176E13,0.26153,4.125199,3.440808,5.37818
2.6409027314E13,0.331262,4.619364,3.138011,5.594227
2.6409047329E13,0.372538,5.166251,2.64842,5.817479
2.6409067323E13,0.357189,5.668351,2.028066,6.030824
2.6409087344E13,0.264995,6.025231,1.34302,6.178781
2.6409107254E13,0.089094,6.156494,0.655157,6.191897
2.6409127304E13,-0.161485,6.021107,0.00972,6.02328
2.6409147333E13,-0.462947,5.628669,-0.572275,5.676595
2.6409167318E13,-0.781423,5.039729,-1.095105,5.2162
2.6409187331E13,-1.080339,4.354915,-1.582578,4.757833
2.6409207331E13,-1.328722,3.695206,-2.066953,4.437606
2.6409227298E13,-1.508658,3.177429,-2.575332,4.359408
2.6409247336E13,-1.61994,2.890392,-3.117093,4.549158
2.6409267314E13,-1.680588,2.87687,-3.675815,4.961085
2.6409290951E13,-1.72281,3.125419,-4.208021,5.517586
2.6409307406E13,-1.785033,3.573932,-4.649693,6.13017
2.6409327366E13,-1.901574,4.124179,-4.929531,6.70262
2.6409347373E13,-2.092406,4.66409,-4.986149,7.140978
2.6409367319E13,-2.355369,5.092604,-4.785266,7.374357
2.6409387329E13,-2.662996,5.341457,-4.332556,7.375212
2.6409407336E13,-2.965164,5.389041,-3.678811,7.16712
2.6408927298E13,0.176244,3.521127,2.579682,4.368542
2.6408947324E13,0.142557,3.48719,3.049769,4.634858
2.6408967313E13,0.148447,3.548218,3.383245,4.904919
2.6408987329E13,0.192638,3.756949,3.523446,5.154264
2.6409008176E13,0.26153,4.125199,3.440808,5.37818
2.6409027314E13,0.331262,4.619364,3.138011,5.594227
2.6409047329E13,0.372538,5.166251,2.64842,5.817479
2.6409067323E13,0.357189,5.668351,2.028066,6.030824
2.6409087344E13,0.264995,6.025231,1.34302,6.178781
2.6409107254E13,0.089094,6.156494,0.655157,6.191897
2.6409127304E13,-0.161485,6.021107,0.00972,6.02328
2.6409147333E13,-0.462947,5.628669,-0.572275,5.676595
2.6409167318E13,-0.781423,5.039729,-1.095105,5.2162
2.6409187331E13,-1.080339,4.354915,-1.582578,4.757833
2.6409207331E13,-1.328722,3.695206,-2.066953,4.437606
2.6409227298E13,-1.508658,3.177429,-2.575332,4.359408
2.6409247336E13,-1.61994,2.890392,-3.117093,4.549158
2.6409267314E13,-1.680588,2.87687,-3.675815,4.961085
2.6409290951E13,-1.72281,3.125419,-4.208021,5.517586
2.6409307406E13,-1.785033,3.573932,-4.649693,6.13017
2.6409327366E13,-1.901574,4.124179,-4.929531,6.70262
2.6409347373E13,-2.092406,4.66409,-4.986149,7.140978
2.6409367319E13,-2.355369,5.092604,-4.785266,7.374357
2.6409387329E13,-2.662996,5.341457,-4.332556,7.375212
2.6409407336E13,-2.965164,5.389041,-3.678811,7.16712
2.6409427471E13,-3.19759,5.263031,-2.9154,6.813489
2.6409447304E13,-3.294717,5.03099,-2.160073,6.389987
2.6409467318E13,-3.204492,4.781284,-1.535656,5.957154
2.6409487331E13,-2.901977,4.598368,-1.145645,5.556884
2.6409507331E13,-2.39866,4.538318,-1.051852,5.239875
2.6409527299E13,-1.74527,4.610439,-1.259113,5.087974
2.6409547333E13,-1.026878,4.769436,-1.710708,5.169963
2.6409567311E13,-0.350695,4.920563,-2.2962,5.441274
2.6409587369E13,0.171455,4.936918,-2.870707,5.71345
2.6409607433E13,0.442718,4.685788,-3.282051,5.737984
2.6409627296E13,0.399015,4.058672,-3.400783,5.310118
2.6409647331E13,0.021691,2.998261,-3.147299,4.346899
2.6409667313E13,-0.657537,1.516312,-2.509774,3.005083
2.6409687329E13,-1.560699,-0.301112,-1.548706,2.21922
2.6409707314E13,-2.576202,-2.302545,-0.388022,3.476937
2.6409727301E13,-3.577494,-4.293484,0.806389,5.646479
2.6409747343E13,-4.444203,-6.067775,1.856631,7.746994
2.6409767319E13,-5.081912,-7.441631,2.605298,9.380367
2.6409787324E13,-5.436775,-8.283834,2.944703,10.33691
2.6409807331E13,-5.502192,-8.536491,2.836615,10.54477
2.6409827303E13,-5.316507,-8.222216,2.318407,10.062063
2.6409847334E13,-4.952408,-7.436929,1.494984,9.059207
2.6409867316E13,-4.500558,-6.330119,0.518104,7.784205
2.6409887326E13,-4.050709,-5.0767,-0.44274,6.509773
2.6409907328E13,-3.674398,-3.846182,-1.232034,5.460058
2.6409427471E13,-3.19759,5.263031,-2.9154,6.813489
2.6409447304E13,-3.294717,5.03099,-2.160073,6.389987
2.6409467318E13,-3.204492,4.781284,-1.535656,5.957154
2.6409487331E13,-2.901977,4.598368,-1.145645,5.556884
2.6409507331E13,-2.39866,4.538318,-1.051852,5.239875
2.6409527299E13,-1.74527,4.610439,-1.259113,5.087974
2.6409547333E13,-1.026878,4.769436,-1.710708,5.169963
2.6409567311E13,-0.350695,4.920563,-2.2962,5.441274
2.6409587369E13,0.171455,4.936918,-2.870707,5.71345
2.6409607433E13,0.442718,4.685788,-3.282051,5.737984
2.6409627296E13,0.399015,4.058672,-3.400783,5.310118
2.6409647331E13,0.021691,2.998261,-3.147299,4.346899
2.6409667313E13,-0.657537,1.516312,-2.509774,3.005083
2.6409687329E13,-1.560699,-0.301112,-1.548706,2.21922
2.6409707314E13,-2.576202,-2.302545,-0.388022,3.476937
2.6409727301E13,-3.577494,-4.293484,0.806389,5.646479
2.6409747343E13,-4.444203,-6.067775,1.856631,7.746994
2.6409767319E13,-5.081912,-7.441631,2.605298,9.380367
2.6409787324E13,-5.436775,-8.283834,2.944703,10.33691
2.6409807331E13,-5.502192,-8.536491,2.836615,10.54477
2.6409827303E13,-5.316507,-8.222216,2.318407,10.062063
2.6409847334E13,-4.952408,-7.436929,1.494984,9.059207
2.6409867316E13,-4.500558,-6.330119,0.518104,7.784205
2.6409887326E13,-4.050709,-5.0767,-0.44274,6.509773
2.6409907328E13,-3.674398,-3.846182,-1.232034,5.460058
2.6409927493E13,-3.412523,-2.775382,-1.736202,4.728896
2.6409947318E13,-3.269968,-1.949568,-1.90237,4.255881
2.6409967316E13,-3.218176,-1.395137,-1.744506,3.917444
2.6409987334E13,-3.204527,-1.084336,-1.336314,3.637377
2.6410007434E13,-3.166371,-0.950067,-0.792822,3.399573
2.6410027503E13,-3.046473,-0.906588,-0.24486,3.187923
2.6410047331E13,-2.806354,-0.871438,0.188119,2.944557
2.6410067314E13,-2.434888,-0.783704,0.421169,2.592346
2.6410087304E13,-1.950483,-0.615072,0.418501,2.087544
2.6410107331E13,-1.396668,-0.371806,0.197058,1.458682
2.6410127488E13,-0.832364,-0.088145,-0.181161,0.856398
2.6410147334E13,-0.31909,0.18638,-0.62568,0.726658
2.6410167314E13,0.09178,0.402137,-1.039049,1.117927
2.6410187303E13,0.369066,0.523329,-1.338355,1.48367
2.6410207329E13,0.506971,0.537462,-1.472165,1.647166
